measure,E_ab,E_ab_prime,E_a_prime_b,E_a_prime_b_prime,S,S_err,quantum_bound,deviation,deviation_sigma
quantum,-0.493800,-0.497140,-0.500460,0.500380,-1.991780,0.006325,2.828427,-4.820207,-762.141665
peaked,-0.953540,-0.956000,-0.040300,0.045700,-1.995540,0.006325,2.828427,-4.823967,-762.736174
bimodal,-1.000000,-1.000000,-0.001380,-0.004180,-1.997200,0.006325,2.828427,-4.825627,-762.998643
